label,text
ham,"http://news.bbc.co.uk/1/hi/scotland/2515231.stm
 



------------------------ Yahoo! Groups Sponsor ---------------------~-->
4 DVDs Free +s&p Join Now
http://us.click.yahoo.com/pt6YBB/NXiEAA/46VHAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/"
ham,"> From:  Valdis.Kletnieks@vt.edu
> Date:  Wed, 21 Aug 2002 02:36:56 -0400
>
> --==_Exmh_778588528P
> Content-Type: text/plain; charset=us-ascii
> 
> On Tue, 20 Aug 2002 22:51:52 EDT, Valdis.Kletnieks@vt.edu said:
> 
> > Ever tried to get MH to *not* have a 'pseq' sequence?  I suspect everybod
> y's
> > looking at a big box that has unseen and pseq in it.  Might want to add
> > 'pseq' to the 'hide by default' list....
> 
> Was it intended that if you added a sequence to the 'never show' list that
> it not take effect till you stopped and restarted exmh?  I added 'pseq',
> then hit 'save' for Preferences - didn't take effect till I restarted.

No it wasn't, and at one point it worked fine.  I'll check and see why it 
stopped working.

Chris
-- 
Chris Garrigues                 http://www.DeepEddy.Com/~cwg/
virCIO                          http://www.virCIO.Com
716 Congress, Suite 200
Austin, TX  78701		+1 512 374 0500

  World War III:  The Wrong-Doers Vs. the Evil-Doers."
ham,"> From:  Robert Elz <kre@munnari.OZ.AU>
> Date:  Wed, 21 Aug 2002 15:01:07 +0700
>
>     Date:        Tue, 20 Aug 2002 22:51:52 -0400
>     From:        Valdis.Kletnieks@vt.edu
>     Message-ID:  <200208210251.g7L2pqKb001805@turing-police.cc.vt.edu>
> 
>   | Ever tried to get MH to *not* have a 'pseq' sequence?
> 
> Hmm - I've been using MH for a long time (since well before there were
> sequences) and I don't think I've ever seen a ""pseq"" ...
> 
> I'm guessing that that's the sequence that you have ""pick"" create
> As I recall it, it has no default sequence name, so the sequence names
> that people use will tend to vary from person to person won't they
> (except as MH configurations move around institutions by osmosis).
> 
> I've always used ""sel"" for that purpose.
> 
> I kind of doubt that any pre built-in sequence name is going to be
> very general.   Even ""unseen"" can be changed (fortunately that one
> is easy to find in the MH profile - though whether exmh does that,
> os just uses ""unseen"" I haven't bothered to find out).

I've never seen pseq either.

BTW, it's kinda amusing for a short while to show the cur sequence.  Watching 
that helped me find a number of bugs.

Chris

-- 
Chris Garrigues                 http://www.DeepEddy.Com/~cwg/
virCIO                          http://www.virCIO.Com
716 Congress, Suite 200
Austin, TX  78701		+1 512 374 0500

  World War III:  The Wrong-Doers Vs. the Evil-Doers."
ham,"Ouch...I'll get right on it.

> From:  Robert Elz <kre@munnari.OZ.AU>
> Date:  Wed, 21 Aug 2002 19:30:01 +0700
>
>     Date:        Tue, 20 Aug 2002 17:27:47 -0500
>     From:        Chris Garrigues <cwg-exmh@DeepEddy.Com>
>     Message-ID:  <1029882468.3116.TMDA@deepeddy.vircio.com>
> 
> 
>   | I'm hoping that all people with no additional sequences will notice are
>   | purely cosmetic changes.
> 
> Well, first, when exmh (the latest one with your changes) starts, I get...
> 
> can't read ""flist(totalcount,unseen)"": no such element in array
>     while executing
> ""if {$flist(totalcount,$mhProfile(unseen-sequence)) > 0} {
> 	FlagInner spool iconspool labelup
>     } else {
> 	FlagInner down icondown labeldown
>     }""
>     (procedure ""Flag_MsgSeen"" line 3)
>     invoked from within
> ""Flag_MsgSeen""
>     (procedure ""MsgSeen"" line 8)
>     invoked from within
> ""MsgSeen $msgid""
>     (procedure ""MsgShow"" line 12)
>     invoked from within
> ""MsgShow $msgid""
>     (procedure ""MsgChange"" line 17)
>     invoked from within
> ""MsgChange 4862 show""
>     invoked from within
> ""time [list MsgChange $msgid $show""
>     (procedure ""Msg_Change"" line 3)
>     invoked from within
> ""Msg_Change $msg(id) $show""
>     (procedure ""Msg_Show"" line 7)
>     invoked from within
> ""Msg_Show cur""
>     (""eval"" body line 1)
>     invoked from within
> ""eval $msgShowProc""
>     (procedure ""FolderChange"" line 55)
>     invoked from within
> ""FolderChange inbox {Msg_Show cur}""
>     invoked from within
> ""time [list  FolderChange $folder $msgShowProc""
>     (procedure ""Folder_Change"" line 3)
>     invoked from within
> ""Folder_Change $exmh(folder)""
>     (procedure ""Exmh"" line 101)
>     invoked from within
> ""Exmh""
>     (""after"" script)
> 
> which is probably related to my not having an ""unseen"" sequence anywhere
> (certainly not in inbox) - I read all of my outstanding mail before I
> tried this new exmh ...
> 
> Second, I've been used to having a key binding which was to Msg_MarkUnseen
> which doesn't seem to exist any more, and I'm not sure what I should replac
> e
> that with.   There's obviously a way as the ""Sequences"" menu does this.
> The ""Mark Unseen"" menu entry in the message ""More"" menu is still wanting
> that function as well...
> 
>   | For those who have other sequences defined, the window will widen to
>   | display the other sequences.
> 
> Any chance of having that lengthen instead?   I like all my exmh stuff
> in nice columns (fits the display better).   That is, I use the detached
> folder list, one column.   The main exmh window takes up full screen,
> top to bottom, but less than half the width, etc...
> 
> I have space for more sequences, in the ""unseen"" window, as long as they
> remain once nice narrow window (best would be if the sequences could be
> ordered by some preference, then ones which didn't fit would just fall
> off the bottom, and not be shown).
> 
> I'd also prefer it if that window had no unusual background colouring,
> just one constant colour - I have been running the unseen window with
> background black, on a root window that is all black, with no borders or
> other decorations, but made ""sticky"" - the appearance is just like the
> folders with unseen messages (and their counts) are written into the
> root window (because it is sticky, this small display follows me around
> and do I can see when new mail needs processing).
> 
> I also find that I tend to have a bunch of sequences that only ever occur
> in one folder (some I had forgotten I ever created).  So in addition to
> the ""sequences to always show"" and ""sequences to never show"", a
> preference to only show sequences that occur in more than one folder
> would be useful, and then have the sequences that occor only in the
> folder I'm visiting appear in the list when that folder is current.
> This is just to keep the list size somewhat manageable while remaining
> productive (I quite often use a sequence to remember a particular message
> in a folder - the name is used only there, and only for one message,
> it gives me a handle on the message which remains as the folder is
> packed, sorted, etc).
> 
> I haven't updated my exmh for some time now, so I'm not sure if this
> next one is new, or just new since 2.5, but the Sequences menu (on the
> bar with New Flist Search ...) only contains ""unseen"" and ""urgent"".
> It would be useful if it contained all of the sequences that the folder
> happens to have defined.   A ""New sequence"" entry would also be useful
> (to mark the message with a sequence name that didn't previously exist,
> which can be done now using ""Search"" and the pick interface, but is
> clumsy that way)
> 
> Actually, you once could, now when I try this, entering a sequence name
> in the pick box, and a single message number, or a range N-N in the
> list of messages, and no pick attributes at all, I now get ...
> 
> syntax error in expression ""int(1+1+(1 hit-1)*(3868-1-2)/(4878-1))""
>     while executing
> ""expr int($minlineno+1+($msgid-$minmsgid)*($maxlineno-$minlineno-2)/($maxms
> gid-$minmsgid))""
>     (procedure ""Ftoc_FindMsg"" line 46)
>     invoked from within
> ""Ftoc_FindMsg $msg""
>     (procedure ""Ftoc_FindMsgs"" line 5)
>     invoked from within
> ""Ftoc_FindMsgs $msgids""
>     (procedure ""Ftoc_PickMsgs"" line 5)
>     invoked from within
> ""Ftoc_PickMsgs $pick(ids) $pick(addtosel)""
>     (procedure ""PickInner"" line 13)
>     invoked from within
> ""PickInner {exec pick +inbox -list} {4852 -sequence mercury}""
>     (""uplevel"" body line 1)
>     invoked from within
> ""uplevel #0 $cmd""
>     (procedure ""busyCursorInner"" line 8)
>     invoked from within
> ""busyCursorInner $cmd $widgets""
>     (procedure ""busyCursorHack"" line 32)
>     invoked from within
> ""busyCursorHack $args""
>     (""cursor"" arm line 1)
>     invoked from within
> ""switch $busy(style) {
> 	icon		{busyIcon $args}
> 	cursorAll	{busyCursor $args}
> 	cursor		{busyCursorHack $args}
> 	default		{eval $args}
>     }""
>     (procedure ""busy"" line 3)
>     invoked from within
> ""busy PickInner $cmd $msgs""
>     (procedure ""Pick_It"" line 51)
>     invoked from within
> ""Pick_It""
>     invoked from within
> "".pick.but.pick invoke""
>     (""uplevel"" body line 1)
>     invoked from within
> ""uplevel #0 [list $w invoke]""
>     (procedure ""tkButtonUp"" line 7)
>     invoked from within
> ""tkButtonUp .pick.but.pick
> ""
>     (command bound to event)
> 
> It has been ages since I did this last though.   I tried adding a Subject
> to pick on (easy as I know what's in the message...) which made no differen
> ce.
> Looks as if something is now saying ""1 hit"" when before it didn't, or
> similar.
> 
>   | I've also changed the ftoc colorization as discussed briefly on the lis
> t a 
>   | week or so ago.
> 
> Any chance of making the current message a little brighter background?
> Just to make it stand out a fraction more than it does (maybe this is
> more apparent to me than many, as I use very small fonts everywhere,
> the background of the ftoc line isn't very wide).
> 
> Hope this helps.
> 
> kre
> 
> 
> 
> _______________________________________________
> Exmh-workers mailing list
> Exmh-workers@redhat.com
> https://listman.redhat.com/mailman/listinfo/exmh-workers

-- 
Chris Garrigues                 http://www.DeepEddy.Com/~cwg/
virCIO                          http://www.virCIO.Com
716 Congress, Suite 200
Austin, TX  78701		+1 512 374 0500

  World War III:  The Wrong-Doers Vs. the Evil-Doers."
ham,"On Wed, 21 Aug 2002 15:01:07 +0700, Robert Elz said:

> Hmm - I've been using MH for a long time (since well before there were
> sequences) and I don't think I've ever seen a ""pseq"" ...

My bad - I had 'Previous-Sequence: pseq' in my .mh_profile from long ago and
far away.

-- 
				Valdis Kletnieks
				Computer Systems Senior Engineer
				Virginia Tech"
ham,"> From:  Chris Garrigues <cwg-exmh@DeepEddy.Com>
> Date:  Wed, 21 Aug 2002 10:17:45 -0500
>
> Ouch...I'll get right on it.
> 
> > From:  Robert Elz <kre@munnari.OZ.AU>
> > Date:  Wed, 21 Aug 2002 19:30:01 +0700
> >
> > can't read ""flist(totalcount,unseen)"": no such element in array
> >     while executing
> > ""if {$flist(totalcount,$mhProfile(unseen-sequence)) > 0} {
> > 	FlagInner spool iconspool labelup
> >     } else {
> > 	FlagInner down icondown labeldown
> >     }""
> >     (procedure ""Flag_MsgSeen"" line 3)

Fixed in CVS.

> > Second, I've been used to having a key binding which was to Msg_MarkUnseen
> > which doesn't seem to exist any more, and I'm not sure what I should replace
> > that with.   There's obviously a way as the ""Sequences"" menu does this.
> > The ""Mark Unseen"" menu entry in the message ""More"" menu is still wanting
> > that function as well...

{Msg_Mark unseen}

I'm not sure how I missed the need to fix this in app-defaults for ""Mark 
Unseen"".  I guess that'll be my next CVS fix.

> >   | For those who have other sequences defined, the window will widen to
> >   | display the other sequences.
> > 
> > Any chance of having that lengthen instead?   I like all my exmh stuff
> > in nice columns (fits the display better).   That is, I use the detached
> > folder list, one column.   The main exmh window takes up full screen,
> > top to bottom, but less than half the width, etc...

I thought about that.  The first order approximation would be to just add 
using pack .... -side top instead of pack ... -side left, however, since their 
each a different width, it would look funny.

> > I have space for more sequences, in the ""unseen"" window, as long as they
> > remain once nice narrow window (best would be if the sequences could be
> > ordered by some preference, then ones which didn't fit would just fall
> > off the bottom, and not be shown).
> > 
> > I'd also prefer it if that window had no unusual background colouring,
> > just one constant colour - I have been running the unseen window with
> > background black, on a root window that is all black, with no borders or
> > other decorations, but made ""sticky"" - the appearance is just like the
> > folders with unseen messages (and their counts) are written into the
> > root window (because it is sticky, this small display follows me around
> > and do I can see when new mail needs processing).

The background color in this window is the same as the background 
color in the ftoc.

> > I also find that I tend to have a bunch of sequences that only ever occur
> > in one folder (some I had forgotten I ever created).  So in addition to
> > the ""sequences to always show"" and ""sequences to never show"", a
> > preference to only show sequences that occur in more than one folder
> > would be useful, and then have the sequences that occor only in the
> > folder I'm visiting appear in the list when that folder is current.
> > This is just to keep the list size somewhat manageable while remaining
> > productive (I quite often use a sequence to remember a particular message
> > in a folder - the name is used only there, and only for one message,
> > it gives me a handle on the message which remains as the folder is
> > packed, sorted, etc).

hmmm, let me think about it.

> > I haven't updated my exmh for some time now, so I'm not sure if this
> > next one is new, or just new since 2.5, but the Sequences menu (on the
> > bar with New Flist Search ...) only contains ""unseen"" and ""urgent"".
> > It would be useful if it contained all of the sequences that the folder
> > happens to have defined.   A ""New sequence"" entry would also be useful
> > (to mark the message with a sequence name that didn't previously exist,
> > which can be done now using ""Search"" and the pick interface, but is
> > clumsy that way)

The only sequences that are defined there are sequences which are defined in 
app-defaults-color or ~/exmh/exmh-defaults-color.  I've been thinking about 
how to dynamically generate highlighting for other sequences, but haven't got 
that figured out yet.

> > Actually, you once could, now when I try this, entering a sequence name
> > in the pick box, and a single message number, or a range N-N in the
> > list of messages, and no pick attributes at all, I now get ...
> > 
> > syntax error in expression ""int(1+1+(1 hit-1)*(3868-1-2)/(4878-1))""
> >     while executing
> > ""expr int($minlineno+1+($msgid-$minmsgid)*($maxlineno-$minlineno-2)/($max
> ms
> > gid-$minmsgid))""
> >     (procedure ""Ftoc_FindMsg"" line 46)
> >     invoked from within
> > ""Ftoc_FindMsg $msg""
> >     (procedure ""Ftoc_FindMsgs"" line 5)
> >     invoked from within
> > ""Ftoc_FindMsgs $msgids""
> >     (procedure ""Ftoc_PickMsgs"" line 5)
> >     invoked from within
> > ""Ftoc_PickMsgs $pick(ids) $pick(addtosel)""
> >     (procedure ""PickInner"" line 13)
> >     invoked from within
> > ""PickInner {exec pick +inbox -list} {4852 -sequence mercury}""
> >     (""uplevel"" body line 1)
> >     invoked from within
> > ""uplevel #0 $cmd""
> >     (procedure ""busyCursorInner"" line 8)
> >     invoked from within
> > ""busyCursorInner $cmd $widgets""
> >     (procedure ""busyCursorHack"" line 32)
> >     invoked from within
> > ""busyCursorHack $args""
> >     (""cursor"" arm line 1)
> >     invoked from within
> > ""switch $busy(style) {
> > 	icon		{busyIcon $args}
> > 	cursorAll	{busyCursor $args}
> > 	cursor		{busyCursorHack $args}
> > 	default		{eval $args}
> >     }""
> >     (procedure ""busy"" line 3)
> >     invoked from within
> > ""busy PickInner $cmd $msgs""
> >     (procedure ""Pick_It"" line 51)
> >     invoked from within
> > ""Pick_It""
> >     invoked from within
> > "".pick.but.pick invoke""
> >     (""uplevel"" body line 1)
> >     invoked from within
> > ""uplevel #0 [list $w invoke]""
> >     (procedure ""tkButtonUp"" line 7)
> >     invoked from within
> > ""tkButtonUp .pick.but.pick
> > ""
> >     (command bound to event)
> > 
> > It has been ages since I did this last though.   I tried adding a Subject
> > to pick on (easy as I know what's in the message...) which made no differ
> en
> > ce.
> > Looks as if something is now saying ""1 hit"" when before it didn't, or
> > similar.

hmmm, that may or may not be my fault...I'll take a look at it.

> >   | I've also changed the ftoc colorization as discussed briefly on the l
> is
> > t a 
> >   | week or so ago.
> > 
> > Any chance of making the current message a little brighter background?
> > Just to make it stand out a fraction more than it does (maybe this is
> > more apparent to me than many, as I use very small fonts everywhere,
> > the background of the ftoc line isn't very wide).

I don't see any reason why not.  Experiment and let me know what works for you.

Chris

-- 
Chris Garrigues                 http://www.DeepEddy.Com/~cwg/
virCIO                          http://www.virCIO.Com
716 Congress, Suite 200
Austin, TX  78701		+1 512 374 0500

  World War III:  The Wrong-Doers Vs. the Evil-Doers."
ham,"> From:  Chris Garrigues <cwg-exmh@DeepEddy.Com>
> Date:  Wed, 21 Aug 2002 10:40:39 -0500
>
> > From:  Chris Garrigues <cwg-exmh@DeepEddy.Com>
> > Date:  Wed, 21 Aug 2002 10:17:45 -0500
> >
> > > From:  Robert Elz <kre@munnari.OZ.AU>
> > > Date:  Wed, 21 Aug 2002 19:30:01 +0700
> > >
> > > Second, I've been used to having a key binding which was to Msg_MarkUnseen
> > > which doesn't seem to exist any more, and I'm not sure what I should replace
> > > that with.   There's obviously a way as the ""Sequences"" menu does this.
> > > The ""Mark Unseen"" menu entry in the message ""More"" menu is still wanting
> > > that function as well...
> 
> {Msg_Mark unseen}
> 
> I'm not sure how I missed the need to fix this in app-defaults for ""Mark 
> Unseen"".  I guess that'll be my next CVS fix.

Okay, that was easy...fixed in CVS.

Chris

-- 
Chris Garrigues                 http://www.DeepEddy.Com/~cwg/
virCIO                          http://www.virCIO.Com
716 Congress, Suite 200
Austin, TX  78701		+1 512 374 0500

  World War III:  The Wrong-Doers Vs. the Evil-Doers."
ham,"> From:  Chris Garrigues <cwg-exmh@DeepEddy.Com>
> Date:  Wed, 21 Aug 2002 10:40:39 -0500
>
> > From:  Chris Garrigues <cwg-exmh@DeepEddy.Com>
> > Date:  Wed, 21 Aug 2002 10:17:45 -0500
> >
> > > From:  Robert Elz <kre@munnari.OZ.AU>
> > > Date:  Wed, 21 Aug 2002 19:30:01 +0700
> > >
> > > Actually, you once could, now when I try this, entering a sequence name
> > > in the pick box, and a single message number, or a range N-N in the
> > > list of messages, and no pick attributes at all, I now get ...
> > > 
> > > syntax error in expression ""int(1+1+(1 hit-1)*(3868-1-2)/(4878-1))""
> > >     while executing
> > > ""expr int($minlineno+1+($msgid-$minmsgid)*($maxlineno-$minlineno-2)/($maxmsgid-$minmsgid))""
> > >     (procedure ""Ftoc_FindMsg"" line 46)
> > >     invoked from within
> > > ""Ftoc_FindMsg $msg""
> > >     (procedure ""Ftoc_FindMsgs"" line 5)
> > >     invoked from within
> > > ""Ftoc_FindMsgs $msgids""
> > >     (procedure ""Ftoc_PickMsgs"" line 5)
> > >     invoked from within
> > > ""Ftoc_PickMsgs $pick(ids) $pick(addtosel)""
> > >     (procedure ""PickInner"" line 13)
> > >     invoked from within
> > > ""PickInner {exec pick +inbox -list} {4852 -sequence mercury}""
> > >     (""uplevel"" body line 1)
> > >     invoked from within
> > > ""uplevel #0 $cmd""
> > >     (procedure ""busyCursorInner"" line 8)
> > >     invoked from within
> > > ""busyCursorInner $cmd $widgets""
> > >     (procedure ""busyCursorHack"" line 32)
> > >     invoked from within
> > > ""busyCursorHack $args""
> > >     (""cursor"" arm line 1)
> > >     invoked from within
> > > ""switch $busy(style) {
> > > 	icon		{busyIcon $args}
> > > 	cursorAll	{busyCursor $args}
> > > 	cursor		{busyCursorHack $args}
> > > 	default		{eval $args}
> > >     }""
> > >     (procedure ""busy"" line 3)
> > >     invoked from within
> > > ""busy PickInner $cmd $msgs""
> > >     (procedure ""Pick_It"" line 51)
> > >     invoked from within
> > > ""Pick_It""
> > >     invoked from within
> > > "".pick.but.pick invoke""
> > >     (""uplevel"" body line 1)
> > >     invoked from within
> > > ""uplevel #0 [list $w invoke]""
> > >     (procedure ""tkButtonUp"" line 7)
> > >     invoked from within
> > > ""tkButtonUp .pick.but.pick
> > > ""
> > >     (command bound to event)
> > > 
> > > It has been ages since I did this last though.   I tried adding a Subject
> > > to pick on (easy as I know what's in the message...) which made no difference.
> > > Looks as if something is now saying ""1 hit"" when before it didn't, or
> > > similar.
> 
> hmmm, that may or may not be my fault...I'll take a look at it.

I can't reproduce this error.

Chris

-- 
Chris Garrigues                 http://www.DeepEddy.Com/~cwg/
virCIO                          http://www.virCIO.Com
716 Congress, Suite 200
Austin, TX  78701		+1 512 374 0500

  World War III:  The Wrong-Doers Vs. the Evil-Doers."
ham,"> From:  Chris Garrigues <cwg-bcc@DeepEddy.Com>
> Date:  Wed, 21 Aug 2002 10:15:18 -0500
>
> > From:  Valdis.Kletnieks@vt.edu
> > Date:  Wed, 21 Aug 2002 02:36:56 -0400
> >
> > --==_Exmh_778588528P
> > Content-Type: text/plain; charset=us-ascii
> > 
> > On Tue, 20 Aug 2002 22:51:52 EDT, Valdis.Kletnieks@vt.edu said:
> > 
> > > Ever tried to get MH to *not* have a 'pseq' sequence?  I suspect everyb
> od
> > y's
> > > looking at a big box that has unseen and pseq in it.  Might want to add
> > > 'pseq' to the 'hide by default' list....
> > 
> > Was it intended that if you added a sequence to the 'never show' list tha
> t
> > it not take effect till you stopped and restarted exmh?  I added 'pseq',
> > then hit 'save' for Preferences - didn't take effect till I restarted.
> 
> No it wasn't, and at one point it worked fine.  I'll check and see why it 
> stopped working.

Ah....I think this may be a user error.  If you change the field in the 
preferences window the variable doesn't actually change unless you press 
return.  If you merely click elsewhere, nothing happens.

Chris

-- 
Chris Garrigues                 http://www.DeepEddy.Com/~cwg/
virCIO                          http://www.virCIO.Com
716 Congress, Suite 200
Austin, TX  78701		+1 512 374 0500

  World War III:  The Wrong-Doers Vs. the Evil-Doers."
ham,">>>Robert Elz said:

 > I kind of doubt that any pre built-in sequence name is going to be
 > very general.   Even ""unseen"" can be changed (fortunately that one
 > is easy to find in the MH profile - though whether exmh does that,
 > os just uses ""unseen"" I haven't bothered to find out).

exmh uses the profile setting - it appears as mhProfile(unseen-sequence)
in the code.

--
Brent Welch
Software Architect, Panasas Inc
Pioneering the World's Most Scalable and Agile Storage Network
www.panasas.com
welch@panasas.com




_______________________________________________
Exmh-workers mailing list
Exmh-workers@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-workers"
